UID,WaterYear,precip_mm,ETr_mm,ETo_mm
347592,2016,490.34999999999997,1762.74,1271.22
347592,2017,650.25,2146.3,1511.07
347592,2018,509.66,2104.4,1489.05
347592,2019,881.64,1788.05,1299.55
347592,2020,390.57,2177.75,1524.7
347592,2021,485.2,2146.75,1508.25
347592,2022,21.75,401.75,255.20000000000002
347593,2016,487.87,1817.3799999999999,1302.69
347593,2017,703.81,2209.02,1547.72
347593,2018,671.1,2167.6,1526.2
347593,2019,841.2,1844.9,1332.2
347593,2020,446.4,2218.7999999999997,1547.4
347593,2021,550.9,2187.8,1532.5
347593,2022,19.5,410.9,260.2
347594,2016,568.32,1774.9,1279.41
347594,2017,676.03,2159.52,1519.33
347594,2018,536.1,2094.1,1484.4
347594,2019,888.9,1796.2,1305.5
347594,2020,427.5,2171.6,1521.2
347594,2021,503.09999999999997,2147,1510.3
347594,2022,20.5,395.6,250.5
347595,2016,610.51,1720.96,1248.8
347595,2017,643.39,2124.99,1499.75
347595,2018,587.4,2012.5,1436.9
347595,2019,848.4,1735,1270.9
347595,2020,436,2123.9,1494.6
347595,2021,481.4,2123.3,1497.4
347595,2022,27.4,384.2,245.1
347597,2016,583.4399999999999,1718.6000000000001,1247.84
347597,2017,628.3100000000001,2108.37,1489.83
347597,2018,586.8,2010.8999999999999,1435.6
347597,2019,825.5,1728,1267.4
347597,2020,461.09999999999997,2121.3,1493
347597,2021,501.7,2114.8,1491
347597,2022,25.2,383.6,244.1
347598,2016,645.21,1747.65,1264.4
347598,2017,630.26,2154.36,1516.74
347598,2018,546.7,2048.1,1456.7
347598,2019,874,1765.3,1288.8
347598,2020,452.59999999999997,2145.6,1507.2
347598,2021,458.5,2140.2,1506.3
347598,2022,23.7,391.9,248.8
347601,2016,537,1747.81,1263.43
347601,2017,672.88,2131.42,1502.82
347601,2018,512.3,2078.1,1473.8999999999999
347601,2019,912.5,1768.6,1288.7
347601,2020,429.59999999999997,2158.6,1512.7
347601,2021,517.8,2130.2,1499.5
347601,2022,24.1,394.5,251.2
347602,2016,535.01,1728.14,1252.24
347602,2017,697.16,2111,1491.35
347602,2018,513.1,2041.4,1454.28
347602,2019,904.82,1750.97,1279
347602,2020,449.40000000000003,2141.23,1504.58
347602,2021,507.84999999999997,2113.92,1490.9
347602,2022,26.19,390.68,248.10000000000002
347604,2016,449.81,1794.13,1290.27
347604,2017,729.33,2182.83,1533.77
347604,2018,694.45,2164,1525.6
347604,2019,807.3100000000001,1818.2,1318.5
347604,2020,477.49,2216,1547.4
347604,2021,526.94,2184.6,1531.2
347604,2022,20.31,409.9,260.2
347605,2016,640.98,1732.42,1255.4
347605,2017,626.54,2138.47,1507.23
347605,2018,563.4,2025.9,1445.3
347605,2019,872.1,1744.9,1276.9
347605,2020,437.7,2130.7,1498
347605,2021,464.9,2128.8,1500.4
347605,2022,23.3,388.7,247.2
347606,2016,498.32,1803.43,1295.75
347606,2017,752.94,2192.93,1539.28
347606,2018,679.5,2167.8,1527.4
347606,2019,811.9,1829.1,1325.3
347606,2020,500.7,2217.5,1549.2
347606,2021,576.4,2187.1,1534
347606,2022,20.1,409.7,259.9
347607,2016,508.52,1816.77,1303.28
347607,2017,653.5,2211.55,1549.3
347607,2018,649.2,2148.6,1515.2
347607,2019,856.1,1847.9,1335.6
347607,2020,463.7,2217.4,1549
347607,2021,550.5,2187.5,1533.3
347607,2022,25.2,406.8,257.8
347609,2016,500.21,1786.58,1287.17
347609,2017,743.81,2175.43,1530.83
347609,2018,690.1,2156.1,1523.6
347609,2019,778,1809.3999999999999,1313.7
347609,2020,528.2,2204.8,1543.3
347609,2021,568.9,2175.4,1527.7
347609,2022,20.700000000000003,405.7,258
347610,2016,480.24,1811.49,1299.3
347610,2017,733.4599999999999,2201.42,1542.9
347610,2018,657.3,2165.9,1525
347610,2019,817.1,1834.3,1326.2
347610,2020,468.1,2217.9,1548
347610,2021,571.1,2188.2,1532.9
347610,2022,18.9,411.3,260.5
347616,2016,495.75,1803.77,1294.18
347616,2017,684.53,2188.36,1535.37
347616,2018,598.9,2144,1512.4
347616,2019,888.6999999999999,1827.8999999999999,1322.2
347616,2020,403.6,2204,1538.4
347616,2021,550.1,2176.9,1524.2
347616,2022,19,409.4,259.4
347617,2016,577.8,1751.35,1266.27
347617,2017,662.65,2142,1509.71
347617,2018,551.4,2056.1,1462.1
347617,2019,874,1770.6,1291.4
347617,2020,429.1,2156.3,1512.8999999999999
347617,2021,474.2,2135.3,1503.3
347617,2022,24.6,391.6,248.89999999999998
347619,2016,480.24,1811.49,1299.3
347619,2017,733.4599999999999,2201.42,1542.9
347619,2018,657.3,2165.9,1525
347619,2019,817.1,1834.3,1326.2
347619,2020,468.1,2217.9,1548
347619,2021,571.1,2188.2,1532.9
347619,2022,18.9,411.3,260.5
347620,2016,533.12,1775.97,1281.15
347620,2017,703.94,2177.7,1530.69
347620,2018,652.8,2107.3,1493.1
347620,2019,872.7,1791.3,1304
347620,2020,502.1,2168.8,1521.6000000000001
347620,2021,580.3,2155.3,1513.7
