UID,Year,precip_mm,ETo_mm,ETr_mm
347583,2020,427,1569,2251.9
347583,2021,530.4,1527.5,2176.1
347585,2016,548.51,1530.18,2166.28
347585,2017,800.4,1505.5,2133.5
347585,2018,710.6999999999999,1461.6,2054.6
347585,2019,653.4,1353.7,1876.3
347585,2020,497.6,1579,2263
347585,2021,594.7,1538.2,2188.6
347587,2016,485.69,1557.27,2220.06
347587,2017,757.48,1525.88,2176.59
347587,2018,706.9300000000001,1476.22,2088.23
347587,2019,757.28,1369.92,1913.31
347587,2020,386.62,1597.96,2306.56
347587,2021,572.23,1551,2219.11
347588,2016,557.75,1529.14,2169.47
347588,2017,745.8,1502.6,2133.8
347588,2018,628.4,1441,2025.4
347588,2019,808.4,1347.1,1869.8
347588,2020,359.4,1568,2252.4
347588,2021,531,1520.4,2164.8
347589,2016,511.28000000000003,1543.95,2196.33
347589,2017,742.9,1513.9,2152.6
347589,2018,672.5,1457.7,2053.4
347589,2019,790.8,1355.8,1887.3999999999999
347589,2020,366,1581.3,2276
347589,2021,557.1,1533.5,2188.6
347591,2016,561.65,1547.66,2201.87
347591,2017,755.45,1515.54,2156.8
347591,2018,651.25,1453.67,2049.2799999999997
347591,2019,743.92,1355.41,1886.28
347591,2020,353.19,1576.69,2268.19
347591,2021,501.11,1529.22,2180.2
347592,2016,505.98999999999995,1513.19,2142.34
347592,2017,708.63,1491.5,2113.15
347592,2018,567.31,1432.65,2011.5500000000002
347592,2019,797.82,1336.55,1852.15
347592,2020,357.17,1567.3,2250.15
347592,2021,492.5,1517.85,2158.4
347593,2016,502.78,1555.11,2214.3
347593,2017,787.9,1525.1,2170.5
347593,2018,743.6,1469.1,2073.8
347593,2019,725,1369.4,1909.2
347593,2020,403.2,1588,2286.7
347593,2021,558.3000000000001,1542.2,2201.9
347594,2016,582.95,1521.34,2154.02
347594,2017,738.2,1499.5,2125.8
347594,2018,618.7,1428.4,2002
347594,2019,785.9,1341.4,1859.7
347594,2020,384.8,1562.9,2242.4
347594,2021,509.9,1517.1000000000001,2155
347595,2016,626,1479.45,2080.95
347595,2017,725.5,1484.8,2100.7
347595,2018,662.6,1380.6,1919.1
347595,2019,735,1307.1,1798.2
347595,2020,392,1538.8,2198.5
347595,2021,493.4,1502.7,2127.4
347597,2016,598.55,1478.07,2077.9700000000003
347597,2017,701,1473.9,2082.5
347597,2018,665.2,1379.5,1917.5
347597,2019,718.1999999999999,1303.7,1791.8999999999999
347597,2020,417.5,1537.3,2196.5
347597,2021,511.6,1496.3,2119.2
347598,2016,662.87,1501.24,2117.81
347598,2017,696.2,1499.1,2125.4
347598,2018,636.2,1398.1,1950.5
347598,2019,764.1,1327.2,1833.1
347598,2020,403.5,1550.3,2218.1
347598,2021,468.1,1513,2148.2
347601,2016,553.38,1501.85,2121.33
347601,2017,738.4000000000001,1484.4,2100.8
347601,2018,579.8,1417.2,1984.2
347601,2019,813.6999999999999,1324.7,1831.3999999999999
347601,2020,394.5,1556.1,2231.6
347601,2021,526.4,1508,2139.9
347602,2016,551.65,1486.49,2094.48
347602,2017,750.42,1474.6,2082.73
347602,2018,594.22,1397.58,1948.42
347602,2019,806.36,1315.39,1813.8600000000001
347602,2020,412.96,1548.69,2215.43
347602,2021,517.92,1497.7,2122.42
347604,2016,466.09,1538.74,2184.26
347604,2017,795.96,1511.8,2146
347604,2018,776.16,1467.7,2067.3
347604,2019,695.59,1359.2,1889.8
347604,2020,440.75,1587.2,2282.9
347604,2021,531.09,1542.3,2199.4
347605,2016,657.22,1488.83,2097.09
347605,2017,699.2,1491.1,2112
347605,2018,647.7,1387.1,1929.4
347605,2019,760.8,1315.3,1811.5
347605,2020,389.9,1541.3999999999999,2203.4
347605,2021,474.09999999999997,1506.7,2136.5
347606,2016,513.96,1545.43,2195.56
347606,2017,835.7,1518,2157.2
347606,2018,754.8,1468.9,2070.4
347606,2019,693.9,1365.3999999999999,1899.3999999999999
347606,2020,458.2,1588.3,2283.8
347606,2021,583.3,1544.8,2201.2
347607,2016,524.02,1553.98,2210.52
347607,2017,740.5,1524.7,2170.5
347607,2018,729,1456.1000000000001,2050.4
347607,2019,736.9,1379.2,1922.7
347607,2020,414.4,1586.2,2281
347607,2021,561.9,1543.3,2201.4
347609,2016,515.62,1533.9,2173.51
347609,2017,823.1,1509.2,2138.5
347609,2018,757.5,1464.7,2060
347609,2019,668.1,1356,1881.3999999999999
347609,2020,490.3,1581,2269.4
347609,2021,575.3,1539.5,2190.6
347610,2016,496.3,1551.2,2207.51
347610,2017,803,1519.8,2162.6
347610,2018,737.7,1469,2072.6
347610,2019,705.3000000000001,1363.1,1899.4
347610,2020,426.2,1589,2287
347610,2021,577.7,1542.7,2201.4
347616,2016,511.28000000000003,1543.95,2196.33
347616,2017,742.9,1513.9,2152.6
347616,2018,672.5,1457.7,2053.4
347616,2019,790.8,1355.8,1887.3999999999999
347616,2020,366,1581.3,2276
347616,2021,557.1,1533.5,2188.6
347617,2016,592.25,1503.38,2122.15
347617,2017,735.3,1491.4,2112.3
347617,2018,627.8000000000001,1405.7,1962.1000000000001
347617,2019,768.8,1328.2,1834.8
347617,2020,384.9,1556.3,2229.8
347617,2021,484.7,1509.6,2142.1
347619,2016,496.3,1551.2,2207.51
347619,2017,803,1519.8,2162.6
347619,2018,737.7,1469,2072.6
347619,2019,705.3000000000001,1363.1,1899.4
347619,2020,426.2,1589,2287
347619,2021,577.7,1542.7,2201.4
347620,2016,553.06,1525.24,2158.17
347620,2017,767.6,1508.1,2140.3
347620,2018,764.4,1432.9,2006.2
347620,2019,736.8000000000001,1347,1866.7
347620,2020,456.5,1558.9,2232.8
347620,2021,597.1,1523.5,2167.4
347621,2016,484.3,1556.36,2218.38
347621,2017,756.6,1525.3,2175.9
347621,2018,707.5,1476.5,2088.5
347621,2019,763.6,1369.6,1913.1
347621,2020,387,1598.2,2307.2000000000003
347621,2021,573.3,1551.7,2220
347622,2016,539.34,1536.93,2178.48
347622,2017,821.4,1510.7,2142.2
347622,2018,721.5,1460.7,2053.4
347622,2019,674.4,1357,1882.1
347622,2020,448.3,1577.3,2261.7
347622,2021,617.7,1535.2,2185.4
347624,2016,586.57,1542.45,2190.31
347624,2017,753.2,1526,2171.9
347624,2018,739.9,1444.6,2030.1
