UID,Year,precip_mm,ETr_mm,ETo_mm
347571,2016,429.31,1649.58,1193.34
347571,2017,691.24,1584.59,1150.3799999999999
347571,2018,644.38,1598.56,1163.02
347571,2019,579.65,1537.06,1123.44
347571,2020,336.72,1757.2,1248.19
347571,2021,448.75,1669.6599999999999,1202.12
347574,2016,609.33,1606.26,1170.34
347574,2017,582.4,1601.9,1161.7
347574,2018,649.9,1516.3,1116.6
347574,2019,639.8000000000001,1506.1,1109.8
347574,2020,352.8,1711.8,1222.5
347574,2021,382.1,1644.1,1189.5
347576,2016,591.11,1596.48,1164.25
347576,2017,568.3,1586.5,1153
347576,2018,513.4,1518.7,1117.2
347576,2019,659.1,1490.6,1099.6
347576,2020,324.3,1705.6,1219.2
347576,2021,336.40000000000003,1639.3,1186.2
347577,2016,414.09,1658.49,1197.21
347577,2017,638.3,1596,1155.3
347577,2018,582.6,1612.6,1168.5
347577,2019,636.7,1545.6,1127.3
347577,2020,278.2,1774,1256.1
347577,2021,415,1682.2,1208.9
347579,2016,458.51,1650.6399999999999,1194.52
347579,2017,712.1,1586,1152.3
347579,2018,602.6,1592.1,1159.5
347579,2019,570,1537.1,1125.5
347579,2020,336.90000000000003,1749,1243.3
347579,2021,473.59999999999997,1664.8,1201
347580,2016,554.14,1570.42,1149.18
347580,2017,616.3,1556.7,1135.9
347580,2018,517.4,1496.4,1104.5
347580,2019,583.7,1454.3,1077.4
347580,2020,303.5,1690.1000000000001,1210.3
347580,2021,373.90000000000003,1620.6,1176.2
347581,2016,588.65,1583.3600000000001,1156.3
347581,2017,635.6,1569.4,1142.4
347581,2018,540.5,1506.9,1110.3
347581,2019,619.2,1469.6,1087.3
347581,2020,299,1699.4,1214.9
347581,2021,340.3,1630.4,1182
347583,2016,554.25,1629.74,1182.93
347583,2017,621.1,1589.1,1153.6
347583,2018,624.7,1547.2,1132.2
347583,2019,611.9,1549.3,1134.1
347583,2020,334.5,1733.2,1234.6
347583,2021,384.5,1653.2,1193.2
347585,2016,490.46000000000004,1631.08,1184.79
347585,2017,693.3,1570.9,1144.7
347585,2018,595,1589.3999999999999,1159.8
347585,2019,530.6,1523.5,1118.7
347585,2020,394.1,1740,1241.3
347585,2021,471.7,1662.8,1201.3
347587,2016,430.21999999999997,1664.21,1200.35
347587,2017,657.84,1595.76,1155.42
347587,2018,600.1,1609.31,1166.94
347587,2019,633.72,1545.3899999999999,1126.76
347587,2020,293.06,1767.77,1252.34
347587,2021,456.66,1675.85,1204.7
347588,2016,501.83,1630.41,1181.98
347588,2017,650.4,1570.9,1142.4
347588,2018,518.1,1565.8,1142.5
347588,2019,684.9,1513.1,1111.1
347588,2020,268.8,1731.4,1232.2
347588,2021,413.5,1639,1184.2
347589,2016,453.86,1649.24,1192.12
347589,2017,646.1,1581.3,1148.2
347589,2018,565.8,1585.6,1154
347589,2019,669,1526.3999999999999,1117.3
347589,2020,274.8,1747.3999999999999,1241.7
347589,2021,442.9,1655.1,1193
347591,2016,505.8,1653.8700000000001,1195.15
347591,2017,657.67,1583.96,1149.32
347591,2018,547.62,1579.75,1149.96
347591,2019,627.2,1526.83,1117.66
347591,2020,263.4,1742.93,1238.19
347591,2021,387.15,1649.28,1189.64
347592,2016,451.73999999999995,1610.79,1170.6599999999999
347592,2017,611.92,1557.5,1135.1
347592,2018,474.59,1560.8500000000001,1139.65
347592,2019,666.88,1499.4,1102.6
347592,2020,270.12,1730.55,1232.85
347592,2021,374,1639.6,1185.5
347593,2016,444.17,1663.92,1201.22
347593,2017,680,1592.5,1155
347593,2018,626.3,1596.9,1161.1
347593,2019,598.5,1545.9,1128.6
347593,2020,308.8,1755.3999999999999,1246.1
347593,2021,441.1,1664.6,1199.1
347594,2016,528.56,1620.83,1177.45
347594,2017,645.8,1570.3,1142.8
347594,2018,503.5,1552,1135.8
347594,2019,662,1511.8,1110.1
347594,2020,291.4,1728.1,1231.6
347594,2021,384.9,1639.6,1187
347595,2016,572.56,1571.32,1149.31
347595,2017,632.5,1567.4,1141.6
347595,2018,526.5,1497.8,1104.6
347595,2019,603.7,1459.6,1081.3
347595,2020,299.7,1693.4,1211.8
347595,2021,364.8,1628,1181
347597,2016,544.88,1569.01,1148.33
347597,2017,607.1,1551.8,1132.5
347597,2018,528.5,1501.1,1107
347597,2019,582.6,1455.5,1079.8
347597,2020,315.7,1691.8,1211.3
347597,2021,382.40000000000003,1621.8,1176.5
347598,2016,607.01,1599.15,1165.66
347598,2017,606.3,1583.4,1150.2
347598,2018,516.8,1521.1,1118
347598,2019,638.2,1491.6,1100
347598,2020,311.59999999999997,1710.7,1222.2
347598,2021,330.5,1640.9,1187.2
347601,2016,497.14000000000004,1595.24,1162.31
347601,2017,638.4,1551.8999999999999,1131.9
347601,2018,468.8,1542.9,1129.7
347601,2019,681.6,1484.8999999999999,1094.6
347601,2020,296.8,1717.8,1224.4
347601,2021,402.4,1628.7,1179.8
347602,2016,495.71,1578.97,1153.17
347602,2017,649.04,1541.36,1126.3
347602,2018,477.37,1520.17,1118.18
347602,2019,672.5,1470.48,1087.19
347602,2020,312.25,1704.45,1218.2
347602,2021,393.03,1618.38,1173.8
