WR_GROUP,Year,Algorithm,ET_m3,ETo_m3,ETr_m3,precip_m3,ET_m3_nonirr,Irrigation_m3,IrrArea_m2,WaterUse_m3,area_m2_wrg,n_irrfields,n_within_lema,n_within_buffer,CropCode_maincrop,area_m2_maincrop,n_croptypes
10,2017,ptjpl,699421.13,1612554.74,2296568.86,768766.57,686242.29,165286.57,971245.54,165286.57,1056444.09,6,3,3,1,982249.5635569256,2
10,2017,sims,688989.5,1612554.74,2296568.86,768766.57,660231.77,165286.57,971245.54,165286.57,1056444.09,6,3,3,1,982249.5635569256,2
10,2017,ssebop,904819.42,1612554.74,2296568.86,768766.57,887817.34,165286.57,971245.54,165286.57,1056444.09,6,3,3,1,982249.5635569256,2
10,2018,disalexi,620359.11,1529348.76,2151291.17,707711.92,560406.61,222026.73,971245.54,222026.73,1056444.09,6,3,3,1,1056444.0873184598,1
10,2018,eemetric,808320.08,1529348.76,2151291.17,707711.92,788661.92,222026.73,971245.54,222026.73,1056444.09,6,3,3,1,1056444.0873184598,1
10,2018,ensemble,792656.83,1529348.76,2151291.17,707711.92,761284.17,222026.73,971245.54,222026.73,1056444.09,6,3,3,1,1056444.0873184598,1
10,2018,ptjpl,729729.33,1529348.76,2151291.17,707711.92,686017.81,222026.73,971245.54,222026.73,1056444.09,6,3,3,1,1056444.0873184598,1
10,2018,sims,692828.38,1529348.76,2151291.17,707711.92,648899.65,222026.73,971245.54,222026.73,1056444.09,6,3,3,1,1056444.0873184598,1
10,2018,ssebop,952869.06,1529348.76,2151291.17,707711.92,928186.49,222026.73,971245.54,222026.73,1056444.09,6,3,3,1,1056444.0873184598,1
11,2016,disalexi,254213.97,752785.61,1067214.3,304077.16,209974.73,309603.95,789137,309603.95,491525.22,5,0,5,1,461529.9572862255,2
11,2016,eemetric,461919.64,752785.61,1067214.3,304077.16,387986.19,309603.95,789137,309603.95,491525.22,5,0,5,1,461529.9572862255,2
11,2016,ensemble,405408.01,752785.61,1067214.3,304077.16,356427.29,309603.95,789137,309603.95,491525.22,5,0,5,1,461529.9572862255,2
11,2016,ptjpl,349059.12,752785.61,1067214.3,304077.16,313545.11,309603.95,789137,309603.95,491525.22,5,0,5,1,461529.9572862255,2
11,2016,sims,366314.67,752785.61,1067214.3,304077.16,314567.13,309603.95,789137,309603.95,491525.22,5,0,5,1,461529.9572862255,2
11,2016,ssebop,505739.09,752785.61,1067214.3,304077.16,456874.83,309603.95,789137,309603.95,491525.22,5,0,5,1,461529.9572862255,2
11,2017,disalexi,251515.94,748494.6,1064673.11,356370.53,226504.65,241762.44,789137,241762.44,491525.22,5,0,5,1,491525.21620944573,1
11,2017,eemetric,395102.31,748494.6,1064673.11,356370.53,395043.73,241762.44,789137,241762.44,491525.22,5,0,5,1,491525.21620944573,1
11,2017,ensemble,363578.94,748494.6,1064673.11,356370.53,345075.28,241762.44,789137,241762.44,491525.22,5,0,5,1,491525.21620944573,1
11,2017,ptjpl,325070.34,748494.6,1064673.11,356370.53,317009.19,241762.44,789137,241762.44,491525.22,5,0,5,1,491525.21620944573,1
11,2017,sims,338599.62,748494.6,1064673.11,356370.53,304431.06,241762.44,789137,241762.44,491525.22,5,0,5,1,491525.21620944573,1
11,2017,ssebop,439761.45,748494.6,1064673.11,356370.53,412694.4,241762.44,789137,241762.44,491525.22,5,0,5,1,491525.21620944573,1
11,2018,disalexi,296877.99,705682.75,990315.18,349833.24,260736.92,263965.12,789137,263965.12,491525.22,5,0,5,1,491525.21620944573,1
11,2018,eemetric,386445.91,705682.75,990315.18,349833.24,366935.86,263965.12,789137,263965.12,491525.22,5,0,5,1,491525.21620944573,1
11,2018,ensemble,380835.21,705682.75,990315.18,349833.24,354197.99,263965.12,789137,263965.12,491525.22,5,0,5,1,491525.21620944573,1
11,2018,ptjpl,348251.73,705682.75,990315.18,349833.24,319179.27,263965.12,789137,263965.12,491525.22,5,0,5,1,491525.21620944573,1
11,2018,sims,337834.41,705682.75,990315.18,349833.24,301909.53,263965.12,789137,263965.12,491525.22,5,0,5,1,491525.21620944573,1
11,2018,ssebop,458748.66,705682.75,990315.18,349833.24,431851.6,263965.12,789137,263965.12,491525.22,5,0,5,1,491525.21620944573,1
12,2016,disalexi,739537.25,2339778.13,3324198.46,765092.81,667838.19,478590.96,1991053.35,478590.96,1524484.05,3,0,3,1,1013787.4895547224,2
12,2016,eemetric,1376564.38,2339778.13,3324198.46,765092.81,1227832.42,478590.96,1991053.35,478590.96,1524484.05,3,0,3,1,1013787.4895547224,2
12,2016,ensemble,1226129.26,2339778.13,3324198.46,765092.81,1120053.91,478590.96,1991053.35,478590.96,1524484.05,3,0,3,1,1013787.4895547224,2
12,2016,ptjpl,997220.47,2339778.13,3324198.46,765092.81,967629.45,478590.96,1991053.35,478590.96,1524484.05,3,0,3,1,1013787.4895547224,2
12,2016,sims,1080522.82,2339778.13,3324198.46,765092.81,993753.59,478590.96,1991053.35,478590.96,1524484.05,3,0,3,1,1013787.4895547224,2
12,2016,ssebop,1567780.06,2339778.13,3324198.46,765092.81,1443386.37,478590.96,1991053.35,478590.96,1524484.05,3,0,3,1,1013787.4895547224,2
