gridmet_id,Year,ETo_mm,ETr_mm,precip_mm
565594,2018,1394.48,1944.3,597.14
565594,2019,1318.08,1817.93,794.03
565594,2020,1554.4,2226.14,411.84
565595,2006,1508.42,2139.65,558.33
565595,2007,1393.77,1932,477.5
565595,2008,1394.2,1958.5,605.69
565595,2009,1296.26,1790.1,664.54
565595,2010,1477.11,2085.32,528.04
565595,2011,1643.34,2374.18,620.4
565595,2012,1814.41,2659.97,336
565595,2013,1514.78,2165.94,411.14
565595,2014,1463.81,2083.91,496.13
565595,2015,1477.34,2081.73,585.94
565595,2016,1491.01,2101.02,575.9
565595,2017,1481.67,2095.54,722.51
565595,2018,1392.82,1940.66,619.57
565595,2019,1318.71,1818.11,767.52
565595,2020,1554.04,2225.75,406.09
565596,2006,1509.06,2140.79,564.99
565596,2007,1392.83,1930.11,478.88
565596,2008,1391.8,1954.07,613.44
565596,2009,1294.4,1786.87,660.65
565596,2010,1477.2,2085.22,500.18
565596,2011,1645.61,2377.73,618.16
565596,2012,1815.35,2661.13,334.72
565596,2013,1517.93,2171.26,408.64
565596,2014,1466.77,2088.78,493.15
565596,2015,1480.34,2086.9,566.7
565596,2016,1490.96,2100.34,586.73
565596,2017,1484.73,2100.73,723.27
565596,2018,1389.17,1934.69,641.83
565596,2019,1317.99,1816.45,751.65
565596,2020,1553.4,2223.56,400.13
565597,2006,1511.24,2144.99,572.65
565597,2007,1393.42,1931.34,478.54
565597,2008,1390.76,1952.39,631.37
565597,2009,1294.08,1786.64,661.96
565597,2010,1478.18,2087.17,504.15
565597,2011,1648.27,2382.49,622.37
565597,2012,1816.67,2663.47,336.52
565597,2013,1521.94,2178.63,407.48
565597,2014,1470.67,2095.82,494.06
565597,2015,1484.55,2094.66,538.47
565597,2016,1491.45,2101.29,617.32
565597,2017,1489.74,2108.44,729.63
565597,2018,1387.17,1933.11,661.56
565597,2019,1319.36,1818.24,750.37
565597,2020,1553.74,2225.36,398.9
565598,2006,1514.17,2150.66,575.11
565598,2007,1394.45,1933.41,478.87
565598,2008,1390.55,1952.18,642.93
565598,2009,1295.69,1789.76,656.17
565598,2010,1479.2,2089.25,534.62
565598,2011,1650.59,2386.73,627.54
565598,2012,1817.91,2665.72,336.21
565598,2013,1526.01,2186.15,404.87
565598,2014,1475.11,2103.83,494.19
565598,2015,1490.57,2105.46,533.38
565598,2016,1491.32,2101.33,647.73
565598,2017,1493.5,2115.69,719.82
565598,2018,1385.9,1930.39,662.21
565598,2019,1318.04,1817.08,749.58
565598,2020,1551.94,2222.12,398.02
565599,2006,1516.98,2155.65,576.8
565599,2007,1395.65,1935.42,481.89
565599,2008,1390.21,1951.39,647.55
565599,2009,1298.4,1794.27,651.02
565599,2010,1480.39,2091.2,547.66
565599,2011,1650.34,2386.35,631.78
565599,2012,1818.04,2665.77,335.31
565599,2013,1528.95,2191.48,403.5
565599,2014,1478.88,2110.47,493.55
565599,2015,1496.16,2115.23,557.69
565599,2016,1491.51,2101.52,653.56
565599,2017,1498.08,2123.71,680.36
565599,2018,1383.58,1925.77,639.78
565599,2019,1317.5,1817.4,766.5
565599,2020,1549.18,2218.09,395.33
565600,2006,1518.68,2158.48,569.82
565600,2007,1395.77,1935.4,479.79
565600,2008,1388.47,1948.03,647.71
565600,2009,1299.73,1796.27,639.7
565600,2010,1480,2090.3,539.03
565600,2011,1648.17,2382.54,625.28
565600,2012,1816.08,2662.09,331.32
565600,2013,1530.03,2193.5,397.9
565600,2014,1481.56,2115.09,484.53
565600,2015,1498.85,2119.93,563.34
565600,2016,1490.78,2099.93,641.39
565600,2017,1500.3,2128.13,651.05
565600,2018,1380.11,1920.27,636.39
565600,2019,1315.41,1813.95,773.94
565600,2020,1545.07,2210.31,392.76
565601,2006,1521.27,2163.02,557.95
565601,2007,1396.68,1936.9,473.44
565601,2008,1387.31,1945.86,648.21
565601,2009,1301.59,1799.44,629.37
565601,2010,1480.96,2091.87,524.67
565601,2011,1647.41,2381.26,615.88
565601,2012,1815.75,2661.34,326.79
565601,2013,1532.05,2197.24,391.18
565601,2014,1485.41,2121.88,472.98
565601,2015,1502.97,2127.09,554.55
565601,2016,1490.35,2099.11,642.87
565601,2017,1502.89,2133.34,668.29
565601,2018,1379.38,1917.25,663.79
565601,2019,1315.19,1812.54,764.28
565601,2020,1544.06,2207.08,399.48
566998,2006,1527.11,2173.68,528.76
566998,2007,1418.35,1979.05,467.76
566998,2008,1428.14,2021.05,577
566998,2009,1316.36,1827.69,674.07
566998,2010,1497.4,2124.91,513.94
566998,2011,1646.23,2383.49,591.7
566998,2012,1832.8,2696.29,318.16
566998,2013,1515.76,2170.99,427.4
566998,2014,1468.75,2095.86,505.62
566998,2015,1471.64,2074.46,582.34
566998,2016,1506.14,2132.83,467.01
566998,2017,1481.62,2099.43,706
566998,2018,1426.71,2004.67,600.98
566998,2019,1332.6,1847.58,755.64
566998,2020,1571.62,2261.45,386.18
566999,2006,1523.48,2166.72,521.68
566999,2007,1413.66,1969.99,466.59
566999,2008,1422.59,2010.66,582.16
566999,2009,1312.48,1820.1,672.02
566999,2010,1493.1,2116.49,497.43
566999,2011,1646.32,2382.67,597.19
566999,2012,1829.36,2689.38,323.82
566999,2013,1514.26,2167.45,424.9
566999,2014,1466.85,2091.8,502.73
566999,2015,1470.62,2071.9,571.47
566999,2016,1503.29,2126.71,469.78
566999,2017,1478.53,2094.87,703.21
566999,2018,1423.46,1998.45,589.98
566999,2019,1329.78,1841.61,751.16
566999,2020,1569.37,2255.27,383.07
567000,2006,1517.13,2155.27,509.24
567000,2007,1406.69,1957.23,466.17
567000,2008,1414.68,1996.4,583.93
567000,2009,1308.62,1812.66,667.31
567000,2010,1487.05,2105.24,498.17
567000,2011,1644.35,2378.5,601.57
567000,2012,1823.68,2678.77,328.23
567000,2013,1510.74,2160.64,421.38
567000,2014,1463.21,2084.84,501.45
567000,2015,1468.14,2066.95,564.3
567000,2016,1498.11,2116.78,475.51
567000,2017,1474.21,2087.85,686.18
567000,2018,1418.24,1988.58,568.88
567000,2019,1325.48,1834.42,749.41
567000,2020,1565.43,2247.34,364.85
567001,2006,1518.59,2157.44,501.3
567001,2007,1405.4,1954.52,465.21
567001,2008,1412.16,1991.59,586.28
567001,2009,1309.09,1813.02,662.02
567001,2010,1487.14,2104.84,511.43
